epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.836,1.33905,2.50235,1.14618,0.93373,0.68575,0.73605,0.49824,1.24805,2.08841,1.13566,0.000663063,0.000663063,0.000663063
2,178.003,1.27872,1.5058,1.08771,0.90892,0.6969,0.73876,0.52733,1.22048,1.74437,1.10909,0.00131657,0.00131657,0.00131657
3,245.14,1.26956,1.25748,1.0822,0.91965,0.73451,0.74615,0.54164,1.12389,1.1703,1.06041,0.00195687,0.00195687,0.00195687
4,312.798,1.22652,1.10462,1.06702,0.93993,0.72698,0.75156,0.52844,1.14838,1.16589,1.06294,0.0019406,0.0019406,0.0019406
5,381.132,1.17496,0.98369,1.02128,0.94537,0.72345,0.75889,0.57481,1.13207,1.1359,1.05319,0.0019208,0.0019208,0.0019208
6,448.195,1.15723,0.97466,1.0454,0.95858,0.7323,0.76669,0.57526,1.09727,1.07757,1.0855,0.001901,0.001901,0.001901
7,515.5,1.16367,0.95482,1.04426,0.95076,0.72124,0.76417,0.56222,1.11901,0.99812,1.04013,0.0018812,0.0018812,0.0018812
8,584.241,1.12347,0.92638,1.03546,0.95566,0.73894,0.77464,0.57278,1.09801,1.0011,1.05407,0.0018614,0.0018614,0.0018614
9,651.314,1.14621,0.88588,1.03568,0.957,0.72566,0.75972,0.58843,0.99821,0.88921,1.02868,0.0018416,0.0018416,0.0018416
10,718.332,1.07396,0.86795,1.0085,0.95452,0.74285,0.77751,0.59237,0.99261,0.90563,0.98584,0.0018218,0.0018218,0.0018218
11,785.848,1.12816,0.89143,1.02962,0.95049,0.7221,0.77357,0.59189,0.99432,0.91924,1.00874,0.001802,0.001802,0.001802
12,853.104,1.06117,0.83958,1.00675,0.94321,0.75,0.76919,0.5973,0.96482,0.84348,1.01289,0.0017822,0.0017822,0.0017822
13,920.07,1.03485,0.79678,0.98688,0.9523,0.74558,0.77771,0.60105,0.96683,0.83867,0.99813,0.0017624,0.0017624,0.0017624
14,986.946,1.05921,0.82588,1.02383,0.96321,0.75292,0.78101,0.59603,1.01885,0.90644,1.04926,0.0017426,0.0017426,0.0017426
15,1054.05,1.05147,0.8014,0.99743,0.95967,0.73705,0.77836,0.61518,0.96768,0.87557,1.01755,0.0017228,0.0017228,0.0017228
16,1121.15,1.02909,0.80422,0.99445,0.96034,0.75001,0.77362,0.61965,0.95454,1.01584,1.01815,0.001703,0.001703,0.001703
17,1188.33,1.03187,0.78446,0.99204,0.9911,0.74115,0.78125,0.61501,0.95609,0.84225,0.98659,0.0016832,0.0016832,0.0016832
18,1255.45,1.02193,0.79834,0.98512,0.96892,0.75664,0.77541,0.6207,0.98355,0.9573,1.01237,0.0016634,0.0016634,0.0016634
19,1323.28,0.96486,0.741,0.97085,0.96859,0.75035,0.77484,0.62156,0.96545,0.86588,1.05219,0.0016436,0.0016436,0.0016436
20,1390.5,0.98491,0.74475,0.97248,0.96482,0.73451,0.77022,0.61013,0.91867,0.84759,0.98435,0.0016238,0.0016238,0.0016238
21,1457.6,0.98725,0.75735,0.97696,0.96072,0.75752,0.78836,0.64098,0.89496,0.81695,1.01029,0.001604,0.001604,0.001604
22,1524.75,0.97673,0.75231,0.99035,0.94952,0.74907,0.78086,0.62023,0.94605,0.85752,1.00471,0.0015842,0.0015842,0.0015842
23,1592.92,0.94892,0.74167,0.98413,0.9597,0.75,0.77934,0.6328,0.89708,0.7939,0.98142,0.0015644,0.0015644,0.0015644
